id,Name,Notes,operating_locations,descriptive_name,entity_type_past,established_date,activity_focus,current_status,Infrastructure,Transactions,Discursive_Oil,Role,Actions_Timeline,is_part_of,concessions_grantee,concessions_granter
66,SEREPT,"Initially, it was the Union of Petroleum Studies and Research in Tunisia, with a capital and managed by a Management Board, which had the acronym SEREPT The union was created with three shareholders: The government of the Protectorate The national office of fuels, liquid The French Petroleum company",Tunisia,Société de Recherches et d'Exploitation des Pétroles en Tunisie,public company,29/12/1931,"Oil and Gas, Oil & Gas Exploration & Services, and Energy, Utilities & Waste Treatment company",active,"Djebel Douleb,Djebel Semmama,Djbel Tamesmida","Tunisie Centre Nord Exploration Convention,Decree n.51 for Douleb,Decree n.16 for Semama,Decree n.3 for Tamesmida,Djbel Tamesmida Décret-loi 2022-40 du 17/06/2022,Djbel Douleb Décret-loi 2022-42 du 17 juin 2022",,,"Exploration DST - Douleb,Exploration DST - Semmama,Exploration DST - Tamesmida,Production DST - Douleb,Production DST - Semmama,Production DST - Tamesmida,Extension DST - Douleb,Extension DST - Tamesmima",,"El Borma,Tunisie Centre Nord 1965",
67,SI.LI.PE,not much information yet,Italy,Compagnia Sicula Ligure Petroli,subsidiary,,,inactive,Braemi 1 well,,,,,,,
68,CO.SI.P.,bankrupted in 2020,Italy,Compagnia Siciliana Petroli,subsidiary,01/01/1970,distributor,inactive,,,,,,,,
69,SNPA,Today Elf Aquitaine,Tunisia,Societé Nationale Des Petroles D'aquitaine,private company,01/01/1941,To explore further in the southwest of France,merged,,Tunisie Centre Nord Exploration Convention,,,,,,
70,CFTP,,Tunisia,Compagnie Franco-Tunisienne des Petroles,private company,13/01/1969,Recherches et concessions d’exploitation de substances minérales du second groupe issue du « Permis Sfax_Kerkenah,active,"Sidi Litaiem,Sidi Baharat","Sfax Kerkennah Concession,Sidi Litaiem JORT Decree n.35,Sidi Bahara JORT Decree n.35,Decree 4581-2014 for illicit extension Sidi Bahara & Litaiem",,,"Production - Sidi Litaiem,Sidi Baharat - Exploration Started,Sidi Baharat & Litaiem Illicit Extension of permit",,Sfax-Kerkennah 1972,
71,CFPA,Disapperead at the nationalization of Algerian oil in 1971,Algeria,Compagnie française des pétroles Algérie,subsidiary,01/01/1953,Holding of deposits in the Algerian Sahara,inactive,"Hassi Messaoud - field,Hassi R'Mel",,,,,CFP-Total,,
72,SOTHRA,,Algeria,Société de Transport du Gaz Naturel d'Hassi-Er-r'Mel Arzew,subsidiary,,Transportation of oil between Hassi Er Mel and Arzew,inactive,"Hassi R'Mel,Hassi R'Mel gas pipeline (1),Hassi R'Mel gas pipeline (2)",,,,Hassi R'Mel - Arzew Transportation began in 1961,SONATRACH,,
73,SONELGAZ,,Algeria,"Société Nationale de l'Electricité et du Gaz,",state-owned,28/07/1969,"monopoly over the distribution and selling of natural gas within the country as well as the production, distribution, importation, and exportation of electricity",active,Skikda Gas liquefaction plant,,,,,,,
74,SN REPAL,,Algeria,Société nationale de recherche et d'exploitation de pétrole en Algérie,joint venture,16/11/1946,Oil exploitation in Algeria,inactive,Hassi Messaoud - field,,,,Discovery in Hassi Messaoud,"French Government,Algerian Government",,
75,,,,,,,,,,,,,,,,
